"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"ふれあいプラザ","湯浅 別所","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","有","○","","簡易トイレ、投光器、救急箱、アルファ米、長期保存水",12.6,135.1847494,34.0327478,"○","","○",119.6,0,70,110,"湯浅町大字別所61-1","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"県立耐久高等学校武道館","湯浅","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","","☆☆☆","","耐震　","","","","",7.4,135.184019,34.0361547,"","","",564,0,340,560,"湯浅町大字湯浅1985-0","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"北の町老人憩の家","湯浅","２F","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　津波　大規模な火事","","☆☆","☆","耐震　","","","","",3.9,135.176664,34.037485,"","","",94,0,30,50,"湯浅町大字湯浅709-2","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"地域福祉センター","湯浅","２F","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　津波　大規模な火事","浸水予測地域　津波浸水予測地域","☆☆","☆","耐震　","有","○","○","アルファ米、長期保存水、毛布、簡易トイレ、携行缶、投光器、救急箱、浄水器",2.3,135.177425,34.037564,"○","","○",334.2,0,330,0,"湯浅町大字湯浅1675-1","2人/3.3㎡","指定緊急避難場所","指定避難所"
"田栖川小学校体育館","栖原","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　津波　大規模な火事","津波浸水予測地域","☆☆☆","☆","耐震　","有","○","○","簡易トイレ、投光器、救急箱、浄水器、アルファ米、長期保存水",4.1,135.165005,34.0441973,"○","","○",231.8,0,140,230,"湯浅町大字栖原1384-0","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"いきいきふれあい館","湯浅","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","","☆☆","","耐震　","有","○","○","飲料水、簡易トイレ、投光器、救急箱、アルファ米、長期保存水",9.8,135.1894416,34.0382185,"○","","○",181.3,0,100,180,"湯浅町大字湯浅2276-2","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"武者越保育所","湯浅 青木","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　津波　大規模な火事","","☆☆☆","☆☆☆","耐震　","有","○","○","簡易トイレ、投光器、携行缶、救急箱、アルファ米、長期保存水",18.8,135.1880118,34.0344175,"○","","○",185.8,0,110,180,"湯浅町大字湯浅1407-0","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"湯浅スポーツセンター","湯浅 栖原","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","","☆☆☆","","耐震　","有","○","○","簡易トイレ、投光器、救急箱、アルファ米、長期保存水",6.9,135.1813979,34.0417801,"○","","○",2507,0,1510,2500,"湯浅町大字湯浅2435-1","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"総合センター","湯浅","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　大規模な火事","","☆☆","","耐震　","有","○","○","簡易トイレ、投光器、救急箱、アルファ米、長期保存水",3.7,135.1763086,34.0390887,"○","","○",538.4,0,320,530,"湯浅町大字湯浅2707-1","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
"湯浅中学校体育館","湯浅","","湯浅町","避難所を兼ねる避難場所","洪水　崖崩れ・土石流及び地滑り　地震　津波　大規模な火事","津波浸水予測地域","☆☆☆","☆","耐震　","有","○","○","アルファ米、飲料水、毛布、おむつ、簡易トイレ、投光器、救急箱",6.2,135.1847331,34.039982,"○","","○",1359.3,0,820,1350,"湯浅町大字湯浅1815-0","2人/3.3㎡
1人/㎡","指定緊急避難場所","指定避難所"
