"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"県道南紀白浜空港線","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",17.2,135.402295,33.7100161,"","","",0,0,0,0,"田辺市新庄町2677-2","",""
"新庄幼稚園裏高台","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",20.8,135.407511,33.7161653,"","","",0,0,0,0,"田辺市新庄町1411-0","",""
"北長みやび葬祭場方面","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",15.3,135.408009,33.7172876,"","","",0,0,0,0,"田辺市新庄町1371-1","",""
"北長４２号バイパス","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",11.7,135.406015,33.720043,"","","",0,0,0,0,"田辺市新庄町754-0","",""
"ニトリ方面高台","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",16.1,135.404089,33.7220809,"","","",0,0,0,0,"田辺市新庄町545-7","",""
"白浜ビーチゴルフ場","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",36,135.385748,33.690153,"","","",0,0,0,0,"田辺市新庄町3724-1","",""
"白浜ビーチゴルフ入口高台","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",20,135.384592,33.6922735,"","","",0,0,0,0,"田辺市新庄町3780-1","",""
"鳥の巣集会所裏高台","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",20,135.382355,33.7007461,"","","",0,0,0,0,"田辺市新庄町3984-0","",""
"内ノ浦若宮神社","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",20,135.382231,33.701126,"","","",0,0,0,0,"田辺市新庄町3970-0","",""
"滝内３０１８番地公園裏高台","新庄町","","田辺市","避難場所","津波　","","","☆","","","","","",20,135.394633,33.7010393,"","","",0,0,0,0,"田辺市新庄町3013-6","",""
"白梅団地公園","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",15.6,135.399404,33.7067503,"","","",0,0,0,0,"田辺市新庄町2915-5","",""
"東跡の浦団地","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",19,135.399032,33.7086093,"","","",0,0,0,0,"田辺市新庄町2744-5","",""
"新庄中学校グラウンド南側","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",20.7,135.401308,33.7131131,"","","",0,0,0,0,"田辺市新庄町2557-0","",""
"森林管理署の裏山","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",32.7,135.399318,33.7173432,"","","",0,0,0,0,"田辺市新庄町2354-0","",""
"二の丸団地","新庄町","","田辺市","避難場所","津波　","","","☆☆","","","","","",15.4,135.403793,33.715203,"","","",0,0,0,0,"田辺市新庄町1948-2","",""
"梅ヶ丘団地","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",11.5,135.403868,33.7135585,"","","",0,0,0,0,"田辺市新庄町1866-4","",""
"大潟神社","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",15,135.406793,33.7157992,"","","",0,0,0,0,"田辺市新庄町1411-0","",""
"新庄北長北原観音堂","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",18.9,135.406506,33.7202799,"","","",0,0,0,0,"田辺市新庄町764-0","",""
"橋谷バイパス沿い団地","  新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",14.5,135.401175,33.7274334,"","","",0,0,0,0,"田辺市新庄町96-26","",""
"橋谷天満宮","新庄町","国道４２号方面の高台","田辺市","避難場所","津波　","","","☆☆☆","","","","","",18,135.399689,33.7255986,"","","",0,0,0,0,"田辺市新庄町143-4","",""
"橋谷呼び上げ地蔵さん山林","新庄町","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",20,135.402683,33.7212868,"","","",0,0,0,0,"田辺市新庄町470-1","",""
"文里一丁目の団地","文里","","田辺市","避難場所","津波　","","","☆","","","","","",11,135.391605,33.7213167,"","","",0,0,0,0,"田辺市文里１丁目33-2","",""
"文里一丁目公園裏高台","文里","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",18.9,135.391819,33.7184713,"","","",0,0,0,0,"田辺市文里１丁目4-13","",""
"神子浜雨降り地蔵周辺","神子浜","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",16,135.388246,33.7233589,"","","",0,0,0,0,"田辺市神子浜１丁目22-30","",""
"文里二丁目高台","神子浜 　文里","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",19,135.388893,33.7212843,"","","",0,0,0,0,"田辺市文里２丁目6-2","",""
"神子浜祇園八坂神社周辺","神子浜","","田辺市","避難場所","津波　","","","☆","","","","","",5.8,135.384692,33.7218822,"","","",0,0,0,0,"田辺市神子浜２丁目15-30","",""
"神子浜神楽神社裏","神子浜","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",20.6,135.38503,33.720789,"","","",0,0,0,0,"田辺市神子浜２丁目16-9","",""
"立戸町内会館付近","天神崎","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",13.8,135.358205,33.7311916,"","","",0,0,0,0,"田辺市天神崎32-33","",""
"磯間日吉神社の高台","磯間","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",14,135.383691,33.7214776,"","","",0,0,0,0,"田辺市磯間23-33","",""
"磯間覚照寺裏の高台","磯間","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",26,135.383392,33.7222261,"","","",0,0,0,0,"田辺市磯間23-33","",""
"古尾願成寺","古尾  ","八立稲神社方面の高台","田辺市","避難場所","津波　","","","☆☆☆","","","","","",6,135.371834,33.736181,"","","",0,0,0,0,"田辺市古尾18-5","",""
"八立稲神社","古尾","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",33.7,135.37091,33.7362567,"","","",0,0,0,0,"田辺市古尾17-5","",""
"天神霊苑","天神崎","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",26.6,135.36028,33.7319244,"","","",0,0,0,0,"田辺市天神崎19-5","",""
"天神集会所付近","目良 天神崎","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",27.2,135.359253,33.7342857,"","","",0,0,0,0,"田辺市天神崎23-10","",""
"シーサイド天神崎公園","目良 天神崎","","田辺市","避難場所","津波　","","","☆☆☆","","","","","",15,135.355894,33.732563,"","","",0,0,0,0,"田辺市目良11-28","",""
