"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"小中地蔵周辺","内海 大野","","海南市","避難場所","津波　","","","☆☆☆","","","","","",17,135.221178,34.149251,"","","",0,0,0,0,"海南市鳥居518-0","","",""
"温水プール周辺","日方 大野 亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",31.4,135.227838,34.163904,"","","",0,0,0,0,"海南市且来1387-3","","",""
"岡田八幡宮周辺","亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",16,135.22555,34.172673,"","","",0,0,0,0,"海南市岡田1181-0","","",""
"二つ池周辺高台","亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",30,135.226907,34.168871,"","","",0,0,0,0,"海南市且来922-0","","",""
"室山地区高台","黒江","","海南市","避難場所","津波　","","","☆☆☆","","","","","",17,135.205548,34.169155,"","","",0,0,0,0,"海南市黒江127-0","","",""
"国主神社周辺","亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",15.8,135.23998,34.177552,"","","",0,0,0,0,"海南市多田714-0","","",""
"教法寺","亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",14,135.213646,34.168536,"","","",0,0,0,0,"海南市岡田698-0","","",""
"地福寺","亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",8.7,135.213126,34.172875,"","","",0,0,0,0,"海南市岡田992-0","","",""
"永楽寺","亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",19.5,135.2292,34.169706,"","","",0,0,0,0,"海南市且来866-0","","",""
"且来招魂山周辺","亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",30.5,135.229801,34.171101,"","","",0,0,0,0,"海南市且来840-0","","",""
"弁財天山周辺","亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",24.7,135.23302,34.173829,"","","",0,0,0,0,"海南市且来1472-0","","",""
"松尾寺周辺","亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",24,135.237649,34.174432,"","","",0,0,0,0,"海南市且来1221-0","","",""
"且来八幡神社西参道","亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",24.7,135.238796,34.170012,"","","",0,0,0,0,"海南市且来1316-0","","",""
"大明神池周辺","亀川","","海南市","避難場所","津波　","","","☆☆☆","","","","","",40.6,135.236968,34.165984,"","","",0,0,0,0,"海南市且来1028-0","","",""
