名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
由良あかつき園,,,,,由良町,福祉避難所,,,,,,,,,,,135.1127300 ,33.9709317 ,,,,,,,,由良町大字吹井130,
特別養護老人ホームゆら博愛園,,,,,由良町,福祉避難所,崖崩れ・土石流及び地滑り　地震　津波,,,,,,,,,,135.1061920 ,33.9699151 ,,,,,,,,由良町大字吹井910-1,
由良児童館,南,,,※地震時は屋外のみ,由良町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　津波,土砂災害予測地域　津波浸水予測地域,☆,,,,,,,3.6,135.1222398 ,33.9592482 ,,,,274,,137,,由良町大字里1126-3,
高台(県道上待機所付近②）,衣奈,,,※津波一時避難場所,由良町,避難場所,地震　,,,☆☆☆,,,,,,16,135.1273750 ,33.9951765 ,,,,,,,,由良町大字三尾川,
高台（県道上待機所付近①）,衣奈,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,25,135.1277084 ,33.9976111 ,,,,,,,,由良町大字三尾川,
高台（西川原西高台）,衣奈,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,35.8,135.1238750 ,33.9977058 ,,,,,,,,由良町大字衣奈,
高台（黒島旅館裏田畑）,衣奈,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,,,,,11.9,135.1135210 ,33.9893880 ,,,,,,,,由良町大字衣奈,
高台（衣奈八幡神社登り口付近）,衣奈,,,※津波一時避難場所,由良町,避難場所,地震　津波,,,☆☆☆,,,,,,20.1,135.1104028 ,33.9865361 ,,,,,,,,由良町大字衣奈,
衣奈消防車庫付近,衣奈,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆,,,,,,7,135.1087410 ,33.9877420 ,,,,,,,,由良町大字衣奈,
高台（小引坂）,衣奈,,,※津波一時避難場所,由良町,避難場所,地震　津波,土砂災害予測地域　,,☆☆☆,,有,○,,資機材,8.1,135.1056190 ,33.9878000 ,,,,,,,,由良町大字衣奈,
