名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
個人宅付近裏山,太間地  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,12,135.4901450 ,33.5547010 ,,,,,,,,すさみ町周参見,
太間地観音堂付近裏山,太間地  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,12,135.4905560 ,33.5540170 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,平松  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,10,135.4906340 ,33.5521980 ,,,,,,,,すさみ町周参見,
王子橋南,平松  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,15,135.4935670 ,33.5516790 ,,,,,,,,すさみ町周参見,
平松観音堂,平松  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,22,135.4911220 ,33.5497570 ,,,,,,,,すさみ町周参見,
畑山,平松  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4913420 ,33.5500770 ,,,,,,,,すさみ町周参見,
三助谷,平松  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4909400 ,33.5503490 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,平松  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4900940 ,33.5513510 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,小泊  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,25,135.4889980 ,33.5511700 ,,,,,,,,すさみ町周参見,
小泊地蔵堂付近裏山,小泊  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,12,135.4883540 ,33.5516730 ,,,,,,,,すさみ町周参見,
中の谷,小泊  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,20,135.4874750 ,33.5536350 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,小泊  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,15,135.4872600 ,33.5521800 ,,,,,,,,すさみ町周参見,
個人宅付近裏山,小泊  ,,,津波避難目標地点,すさみ町,避難場所,津波,,,☆☆☆,,,,,,21,135.4860690 ,33.5521960 ,,,,,,,,すさみ町周参見,
旧めじろクリニックの屋上,下地二  ,,,RC-2F・屋上　一時避難ビル,すさみ町,避難場所,津波,津波浸水予測地域,,☆,,,,,,5,135.4945280 ,33.5476630 ,,,,,,,,すさみ町周参見,
個人宅の屋上,平松  ,,,RC-2F・屋上　一時避難ビル,すさみ町,避難場所,津波,津波浸水予測地域,,☆,,,,,,4,135.4933810 ,33.5505910 ,,,,,,,,すさみ町周参見,
個人宅の屋上,平松  ,,,RC-2F・屋上　一時避難ビル,すさみ町,避難場所,津波,津波浸水予測地域,,☆,,,,,,4,135.4940170 ,33.5512040 ,,,,,,,,すさみ町周参見,
