名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
湯浅幼稚園,湯浅,,,本館２階、屋上,湯浅町,避難場所,地震　津波,津波浸水予測地域,,☆,耐震　,,,,,4,135.1773620 ,34.0349910 ,,,,315.3,,310,,湯浅町大字湯浅785,1人/㎡ 屋内外の合計
北の町老人憩の家,湯浅,,,２F,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,,☆☆,☆,耐震　,,,,,3.9,135.1766640 ,34.0374850 ,,,,94,,30,,湯浅町大字湯浅709-2,2人/3.3㎡
地域福祉センター,湯浅,,,２F,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,浸水予測地域　津波浸水予測地域,☆☆,☆,耐震　,有,○,○,アルファ米、長期保存水、毛布、簡易トイレ、携行缶、投光器、救急箱、浄水器,2.3,135.1774250 ,34.0375640 ,○,,○,334.2,,330,,湯浅町大字湯浅1675-1,2人/3.3㎡
幸神社,栖原,,,,湯浅町,避難場所,地震　津波,,,☆☆,,,,,,20,135.1654100 ,34.0409205 ,,,,,,100,,湯浅町大字栖原559,
奥畑大師堂,栖原,,,,湯浅町,避難場所,地震　津波,,,☆,,,,,,10.8,135.1660120 ,34.0403269 ,,,,,,50,,湯浅町大字栖原822,
施無畏寺,栖原,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,31.5,135.1618800 ,34.0466630 ,,,,,,400,,湯浅町大字栖原1465,
竹林寺,田,,,,湯浅町,避難場所,地震　津波,,,☆☆☆,,,,,,11.9,135.1559140 ,34.0576690 ,,,,,,500,,湯浅町大字田620,
田栖川小学校体育館,栖原,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　津波,津波浸水予測地域,☆☆☆,☆,耐震　,有,○,○,簡易トイレ、投光器、救急箱、浄水器、アルファ米、長期保存水,4.1,135.1650050 ,34.0441973 ,○,,○,231.8,,140,,湯浅町大字栖原1384,2人/3.3㎡
いきいきふれあい館,湯浅,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆,,耐震　,有,○,○,飲料水、簡易トイレ、投光器、救急箱、アルファ米、長期保存水,9.8,135.1894416 ,34.0382185 ,○,,○,181.3,,100,,湯浅町大字湯浅2276-2,2人/3.3㎡
武者越保育所,湯浅 青木,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　津波,,☆☆☆,☆☆☆,耐震　,有,○,○,簡易トイレ、投光器、携行缶、救急箱、アルファ米、長期保存水,18.8,135.1880118 ,34.0344175 ,○,,○,185.8,,110,,湯浅町大字湯浅1407,2人/3.3㎡
湯浅スポーツセンター,湯浅 栖原,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,有,○,○,簡易トイレ、投光器、救急箱、アルファ米、長期保存水,6.9,135.1813979 ,34.0417801 ,○,,○,2507,,1510,,湯浅町大字湯浅2435-1,2人/3.3㎡
総合センター,湯浅,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆,,耐震　,有,○,○,簡易トイレ、投光器、救急箱、アルファ米、長期保存水,3.7,135.1763086 ,34.0390887 ,○,,○,538.4,,320,,湯浅町大字湯浅2707-1,2人/3.3㎡
県立耐久高等学校校舎,湯浅,,,1、２号館３，４F、屋上,湯浅町,避難場所,地震　津波,津波浸水予測地域,,☆☆,耐震　,,,,,7.4,135.1840470 ,34.0361898 ,,,,2226.2,,5430,,湯浅町大字湯浅1985,1人/㎡ 屋内外の合計
湯浅中学校体育館,湯浅,,,,湯浅町,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　津波,津波浸水予測地域,☆☆☆,☆,耐震　,有,○,○,アルファ米、飲料水、毛布、おむつ、簡易トイレ、投光器、救急箱,6.2,135.1847331 ,34.0399820 ,○,,○,1359.3,,1350,,湯浅町大字湯浅1815,2人/3.3㎡
湯浅小学校校舎,湯浅,,,３F,湯浅町,避難場所,地震　津波,津波浸水予測地域,,☆☆,耐震　,,,,,4.1,135.1814185 ,34.0354768 ,,,,651.2,,650,,湯浅町大字湯浅1570,1人/㎡
田村小学校グラウンド,田,,,,湯浅町,広域避難場所,地震　津波,津波浸水予測地域,☆☆,☆,,,,,,1.5,135.1509890 ,34.0549000 ,,,,,4300,4300,4300,湯浅町大字田359,1人/㎡
田栖川小学校グラウンド,栖原,,,,湯浅町,広域避難場所,地震　,津波浸水予測地域,☆☆☆,☆,,,,,,2.1,135.1655680 ,34.0442380 ,,,,,3000,3000,3000,湯浅町大字栖原1384,1人/㎡
湯浅中学校グラウンド,湯浅,,,,湯浅町,広域避難場所,地震　,津波浸水予測地域,☆☆☆,☆,,,,,,5.7,135.1840300 ,34.0394500 ,,,,,7000,7000,7000,湯浅町大字湯浅1815,1人/㎡
湯浅小学校グラウンド,湯浅,,,,湯浅町,広域避難場所,地震　,津波浸水予測地域,☆☆☆,☆,,,,,,4.1,135.1814140 ,34.0351260 ,,,,,5700,5700,5700,湯浅町大字湯浅1570,1人/㎡
町民多目的グラウンド,湯浅 栖原 青木　吉川,,,,湯浅町,避難場所,津波,,,☆☆☆,,,,,,,135.1957960 ,34.0365891 ,,,,,,4700,,有田川町大字熊井726-9,
