名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
愛口集会所,愛口,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,耐震　,,,,,163,135.3782800 ,33.9581470 ,,,,120,,40,,日高川町大字初湯川33-1,
阿田木集会所,阿田木,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,138,135.3630700 ,33.9805520 ,,,,44,,15,,日高川町大字皆瀬252-1,
なかつ保育所,本郷,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,51,135.2867800 ,33.9588420 ,,,,926,900,608,,日高川町大字高津尾1071,
かわべテニス公園,江川 和佐,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,50.9,135.2130370 ,33.8955210 ,,,,160,1600,586,,日高川町大字和佐2095,
お堂,下田原,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,102,135.3172500 ,33.9591790 ,,,,48,,16,,日高川町大字下田原218,
(高津尾川)区長宅,高津尾川,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,203,135.2946390 ,33.9922660 ,,,,50,,17,,日高川町大字高津尾川65,
日高川町保健福祉センター,,,,,日高川町,福祉避難所,,,,,耐震　,,,,,,135.3678830 ,33.9829035 ,,,,,,,,日高川町大字川原河264,
日高川町立早蘇中学校,,,,,日高川町,福祉避難所,,,,,耐震　,,,,,,135.2236260 ,33.9358712 ,,,,,,,,日高川町大字蛇尾476,
日高川町立中津中学校,,,,,日高川町,福祉避難所,,,,,耐震　,,,,,,135.3113030 ,33.9298919 ,,,,,,,,日高川町大字三佐26,
日高川町農村環境改善センター,,,,,日高川町,福祉避難所,,,,,耐震　,,,,,,135.1868810 ,33.9112898 ,,,,,,,,日高川町大字小熊2416,
日高川町地域交流センター,,,,,日高川町,福祉避難所,,,,,耐震　,,,,,,135.2952820 ,33.9591441 ,,,,,,,,日高川町大字高津尾718-3,
日高川町かわべテニス公園,,,,,日高川町,福祉避難所,,,,,耐震　,,,,,,135.2135500 ,33.8957922 ,,,,,,,,日高川町大字和佐2095,
特別養護老人ホームときわ寮川辺園,,,,,日高川町,福祉避難所,,,,,耐震　,,,,,,135.2124260 ,33.8978225 ,,,,,,,,日高川町大字和佐2081-10,
寒川保育園,,,,,日高川町,福祉避難所,,,,,,,,,,,135.4971780 ,33.9831155 ,,,,,,,,日高川町大字寒川120,
介護老人福祉施設「美山の里」,平,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,234,135.3823730 ,33.9575020 ,,,,1271,,424,,日高川町大字初湯川213-1,
上初湯川ふれあいの家,上初湯川,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,293,135.4114270 ,33.9958040 ,,,,410,600,336,,日高川町大字上初湯川723-11,
下阿田木神社,阿田木,,,,日高川町,避難場所,地震　,,,,,,,,,138,135.3627420 ,33.9810770 ,,,,,1000,333,,日高川町大字皆瀬302,
八幡神社,小釜本,,,,日高川町,避難場所,地震　,,,,,,,,,164,135.3131520 ,33.9400980 ,,,,,340,113,,日高川町大字小釜本388,
小熊公園,小熊,,,,日高川町,避難場所,地震　,,,,,,,,,31.2,135.1964120 ,33.9087220 ,,,,,3300,1100,,日高川町大字小熊6083-1,
寒川第一小学校,宮平,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,有,○,,発電機・投光器・毛布,298,135.4694540 ,33.9549790 ,○,,○,485,1300,595,,日高川町大字寒川184,
平スポーツセンター,平,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,224,135.3865950 ,33.9601850 ,,,,897,13000,4632,,日高川町大字初湯川213-223,
川原河小学校,川原河 皆瀬,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,有,○,,発電機・投光器・毛布,134,135.3719500 ,33.9828380 ,○,,○,670,2300,990,,日高川町大字川原河381-1,
上田原集会所,上田原,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,113,135.3269920 ,33.9619740 ,,,,185,,62,,日高川町大字上田原203,
下田原集会所,下田原,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,92,135.3155660 ,33.9588500 ,,,,168,,56,,日高川町大字下田原261,
小釜本集会所,小釜本,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,89,135.3203400 ,33.9378020 ,,,,192,,64,,日高川町大字小釜本295-1,
田尻集会所,田尻,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,83,135.3143110 ,33.9345790 ,,,,128,,43,,日高川町大字田尻161,
旧役場川中支所,田尻,,,,日高川町,避難所を兼ねる避難場所,洪水　,,☆☆☆,,非耐震,,,,,84,135.3132700 ,33.9331910 ,,,,240,,80,,日高川町大字田尻117-1,
三佐集会所,三佐,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,92,135.3132060 ,33.9280320 ,,,,122,,41,,日高川町大字三佐296-2,
老星集会所,老星,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,74,135.2948590 ,33.9255880 ,,,,76,,25,,日高川町大字老星141-1,
大又集会所,大又,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,119,135.2838190 ,33.9232200 ,,,,65,,22,,日高川町大字大又113,
坂野川集会所,坂野川,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,76,135.2918020 ,33.9292470 ,,,,288,,96,,日高川町大字坂野川194-1,
佐井集会所,佐井,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,68,135.2924020 ,33.9411220 ,,,,245,,82,,日高川町大字佐井212-1,
生活改善センター,原日浦,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,118,135.3362350 ,33.9755870 ,,,,96,,32,,日高川町大字原日浦191,
西鶴記念交流館,三十木,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,105,135.3245780 ,33.9721840 ,,,,229,500,243,,日高川町大字三十木96,
姉子集会所,姉子,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,108,135.3256620 ,33.9750310 ,,,,120,,40,,日高川町大字姉子136,
広瀬集会所,広瀬,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,84,135.2930190 ,33.9695240 ,,,,88,,29,,日高川町大字高津尾391,
中木集会所,中木,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,69,135.2973750 ,33.9455050 ,,,,102,,34,,日高川町大字高津尾990,
尾曽集会所,尾曽,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,63,135.2955080 ,33.9600920 ,,,,134,,45,,日高川町大字高津尾685,
日高川地域交流センター,高津尾 西原 本郷 尾曽 中木 広瀬,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,51,135.2962810 ,33.9588990 ,,,,1000,8400,3133,,日高川町大字高津尾735,太陽光発電有り
新田集会所,本郷,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,,,,,59,135.2882130 ,33.9584190 ,,,,145,,48,,日高川町大字高津尾1060,
本郷集会所,本郷,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,55,135.2886630 ,33.9616930 ,,,,105,,35,,日高川町大字高津尾124-2,
西原集会所,西原,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,59,135.2867480 ,33.9609020 ,,,,111,,37,,日高川町大字西原47-1,
上滝本集会所,上滝本,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,耐震化済　,,,,,54,135.2766950 ,33.9573700 ,,,,180,,60,,日高川町大字船津531,
高齢者等活動生活支援促進施設,下滝本,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,48,135.2680050 ,33.9575120 ,,,,227,,76,,日高川町大字船津554-1,
中津小学校,坂本  岡本  小津茂 上滝本 下滝本,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,,☆☆☆,,耐震　,有,○,,発電機・投光器・毛布,43,135.2722960 ,33.9569160 ,○,,○,510,3700,1403,,日高川町大字船津1507,
小津茂集会所,小津茂,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,49,135.2642280 ,33.9545310 ,,,,90,,30,,日高川町大字船津659-1,
岡本集会所,岡本,,,,日高川町,避難所を兼ねる避難場所,洪水　,土砂災害予測地域　浸水予測地域　,☆,,非耐震,,,,,47,135.2665480 ,33.9523566 ,,,,70,,23,,日高川町大字船津1315-2,
女性若者等交流活動支援施設,坂本,,,,日高川町,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,40,135.2652480 ,33.9447680 ,,,,142,,47,,日高川町大字船津1110-1,
