名称,避難が予想される住民の地区名,,,指定場所,市町村名,種別,災害区分,"土砂災害・浸水・津波浸水予測地域","緊急避難先レベル",,耐震性,備蓄の有無,備蓄品目,,,標高（m）,"経度：東経(世界測地系10進法)","緯度：北緯(世界測地系10進法)",発電機,,,"施設面積（㎡）",,収容人数,収容人数(一時）,所在地,備考
,,,,,,,,,風水害,津波,,,備蓄の有無,食料の有無,備蓄品目,,,,発電機の有無,発動発電機（可搬型）,自家発電機,屋内,屋外,,,,
上野悠悠館,下川下  ,,,,田辺市,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,有,○,,発電機など,192,135.5785644 ,33.7379056 ,○,,○,66,,20,,田辺市下川下1253-3,
上野多目的集会所,上野  ,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,364,135.4686753 ,33.7674276 ,,,,115,,35,,田辺市上野654-3,
上芳養中学校,上芳養,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,有,○,○,非常食・毛布・防水シートなど,120,135.3758207 ,33.8101670 ,○,,,1356,,411,,田辺市上芳養1483,
上芳養小学校,上芳養,,,,田辺市,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　,☆,,耐震　,有,○,,,85,135.3777029 ,33.8039045 ,,,,1003,,304,,田辺市上芳養3334,
上大野集会所,上大野,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,耐震　,,,,,93,135.7567667 ,33.8045417 ,,,,,,21,,田辺市本宮町　上大野180,
上秋津幼稚園,上秋津,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,有,○,○,,35,135.4104960 ,33.7578858 ,,,,287,,87,,田辺市上秋津4524,
上秋津中学校,上秋津,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　浸水予測地域　,☆☆,,耐震　,有,○,,,50,135.4094132 ,33.7518447 ,,,,1597,,484,,田辺市上秋津2263-2,
上秋津小学校,上秋津,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,有,○,○,非常食・毛布・防水シートなど,30,135.4062946 ,33.7536494 ,○,,○,693,,210,,田辺市上秋津2196-1,
上山路小学校,東,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,有,○,,,337,135.4919703 ,33.8925386 ,,,,739,,224,,田辺市龍神村　東,
小川集会所,鮎川  ,,,,田辺市,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,,,,,,111,135.5113487 ,33.7348414 ,,,,33,,10,,田辺市鮎川1716-1,
小規模多機能型居宅介護事業所きずな館,宮代  ,,,,田辺市,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,344,135.4983964 ,33.9142209 ,,,,752,,228,,田辺市龍神村　宮代,
小家会館,小家  ,,,,田辺市,避難所を兼ねる避難場所,洪水　地震　,土砂災害予測地域　浸水予測地域　,☆,,耐震　,,,,,232,135.4236528 ,33.9282982 ,,,,118,,36,,田辺市龍神村　小家-1,
秋津川公民館,秋津川,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　,,☆☆☆,,,有,○,,毛布,180,135.4265826 ,33.7943675 ,,,,79,,24,,田辺市秋津川668-1,
社会福祉センター,中屋敷町 新屋敷町,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　高潮　地震　,津波浸水予測地域,☆☆☆,,耐震　,有,○,,毛布,4.1,135.3781292 ,33.7280272 ,,,,128,,39,,田辺市中屋敷町24-49,
山遊館体育館,谷野口,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,,,,発電機,141,135.5776206 ,33.6750926 ,○,,○,419,,127,,田辺市谷野口177-1,
三川小学校,合川,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,土砂災害予測地域　,☆,,耐震　,,,,,187,135.5708660 ,33.6885355 ,,,,808,,245,,田辺市合川439-1,
三栖幼稚園,上三栖  中三栖  下三栖,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,浸水予測地域　,☆,,耐震　,,,,,25,135.4287775 ,33.7382573 ,,,,409,,124,,田辺市中三栖147-5,
三栖小学校,上三栖  中三栖  下三栖,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,有,○,○,非常食・毛布・防水シートなど,38,135.4317222 ,33.7445827 ,○,,○,2102,,637,,田辺市中三栖2111,
三栖コミュニティセンター,上三栖  中三栖  下三栖,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,浸水予測地域　,☆☆,,耐震　,有,○,,毛布,30,135.4339462 ,33.7434191 ,,,,260,,79,,田辺市中三栖805,
高齢者複合福祉施設たきの里,新庄町 神島台 たきない,,,,田辺市,避難所を兼ねる避難場所,洪水　崖崩れ・土石流及び地滑り　地震　,,☆☆☆,,耐震　,,,,,60,135.4008914 ,33.6995016 ,,,,432,,131,,田辺市たきない町22-1,
