"避難先名称","避難が予想される住民の地区名","指定場所","管轄市町村名","避難種別","災害区分","土砂災害・浸水・津波浸水予測地域","緊急避難場所レベル（風水害）","緊急避難場所レベル（津波）","耐震性","備蓄の有無","備蓄品目（備蓄の有無）","備蓄品目（食料の有無）","備蓄品目（備蓄品目）","標高（メートル）","経度：東経（世界測地系10進法）","緯度：北緯（世界測地系10進法）","発電機（発電機の有無）","発電機（発動発電機（可搬型））","発電機（自家発電機）","施設面積（平米）屋内","施設面積（平米）屋外","収容人数","収容人数（一時）","所在地","備考1","備考２-１","備考２-２"
"中貴志コミュニティセンター","市内全域","","紀の川市","避難場所","崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","浸水予測地域　","☆☆","","非耐震","","","","",27,135.3133035,34.2180623,"","","",1407.2,0,300,300,"紀の川市貴志川町　上野山28-0","","",""
"長山ふれあい公園","市内全域","","紀の川市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",73,135.28615,34.2111861,"","","",0,16954,0,6780,"紀の川市貴志川町　長山277-735","","指定緊急避難場所",""
"細野渓流キャンプ場","市内全域","","紀の川市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",216,135.421116,34.1885833,"","","",0,5142,0,2060,"紀の川市桃山町　垣内258-1","","指定緊急避難場所",""
"青洲の里","市内全域","","紀の川市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　津波　","","☆☆☆","","","","","","",85,135.441314,34.2812341,"","","",0,3870,0,1940,"紀の川市西野山473-0","","指定緊急避難場所",""
"東国分公園（中児童公園）","市内全域","","紀の川市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",37,135.344679,34.2646141,"","","",0,2603,0,910,"紀の川市東国分98-1","","指定緊急避難場所",""
"古和田会館・駐車場","市内全域","","紀の川市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",53,135.354533,34.2729251,"","","",666,471,0,390,"紀の川市古和田626-0","","指定緊急避難場所",""
"紀伊国分寺跡公園","市内全域","","紀の川市","避難場所","洪水　崖崩れ・土石流及び地滑り　内水氾濫　地震　","","☆☆☆","","","","","","",39,135.339285,34.2690572,"","","",0,32311,0,11310,"紀の川市東国分573-3","","指定緊急避難場所",""
"打田中学校","","","紀の川市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","","","耐震　","有","○","○","飲料水、パン、毛布等",47,135.363805,34.2678467,"○","○","",0,0,0,0,"紀の川市東大井345-0","聴覚障害・発達障害・精神障害対応可","指定避難所",""
"打田保健福祉センター","","","紀の川市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","","","耐震　","有","○","○","飲料水、パン、毛布等",48,135.362614,34.2692245,"○","○","○",0,0,0,0,"紀の川市西大井338-0","視覚障害・肢体不自由者対応可","指定避難所",""
"貴志川生涯学習センター","","","紀の川市","福祉避難所","洪水　崖崩れ・土石流及び地滑り　高潮　内水氾濫　地震　津波　","","","","耐震　","有","○","○","飲料水、パン、毛布等",45,135.306641,34.217509,"○","○","",0,0,0,0,"紀の川市貴志川町　長原447-1","聴覚障害・肢体不自由者・知的障害・発達障害・精神障害対応可","指定避難所",""
